Discription,CurrentStock,ReorderPoint,SafetyStock,Avg_Daily_Demand
10 COLOUR SPACEBOY PEN,460,292,175,16.64227642
11 PC CERAMIC TEA SET POLKADOT,46,2,1,0.004065041
12 ASS ZINC CHRISTMAS DECORATIONS,2,12,7,0.581300813
12 COLOURED PARTY BALLOONS,143,100,60,5.697831978
12 DAISY PEGS IN WOOD BOX,56,22,13,1.216802168
12 EGG HOUSE PAINTED WOOD,35,12,7,0.643631436
12 HANGING EGGS HAND PAINTED,27,2,1,0.054200542
12 IVORY ROSE PEG PLACE SETTINGS,25,58,35,3.246612466
12 MESSAGE CARDS WITH ENVELOPES,152,72,43,4.088075881
12 MINI TOADSTOOL PEGS,8,12,7,0.630081301
12 PENCIL SMALL TUBE WOODLAND,587,220,132,12.51490515
12 PENCILS SMALL TUBE POSY,52,13,8,0.701897019
12 PENCILS SMALL TUBE RED RETROSPOT,142,238,143,13.55420054
12 PENCILS SMALL TUBE RED SPOTTY,217,190,114,10.83604336
12 PENCILS SMALL TUBE SKULL,760,308,185,17.53794038
12 PENCILS TALL TUBE POSY,334,139,83,7.898373984
12 PENCILS TALL TUBE RED RETROSPOT,205,92,55,5.220867209
12 PENCILS TALL TUBE RED SPOTTY,140,54,32,3.033875339
12 PENCILS TALL TUBE SKULLS,226,112,67,6.321138211
12 PENCILS TALL TUBE WOODLAND,231,107,64,6.074525745
12 PINK HEN+CHICKS IN BASKET,27,3,2,0.12195122
12 PINK ROSE PEG PLACE SETTINGS,90,35,21,1.997289973
12 RED ROSE PEG PLACE SETTINGS,49,28,17,1.570460705
15 PINK FLUFFY CHICKS IN BOX,14,2,1,0.039295393
15CM CHRISTMAS GLASS BALL 20 LIGHTS,157,62,37,3.495934959
16 PC CUTLERY SET PANTRY DESIGN,9,2,1,0.005420054
16 PIECE CUTLERY SET PANTRY DESIGN,12,5,3,0.284552846
18PC WOODEN CUTLERY SET DISPOSABLE,35,13,8,0.681571816
2 DAISIES HAIR COMB,30,2,1,0.024390244
2 PICTURE BOOK EGGS EASTER BUNNY,33,18,11,0.972899729
2 PICTURE BOOK EGGS EASTER CHICKS,41,18,11,0.972899729
2 PICTURE BOOK EGGS EASTER DUCKS,45,17,10,0.898373984
20 DOLLY PEGS RETROSPOT,149,133,80,7.543360434
200 BENDY SKULL STRAWS,127,30,18,1.677506775
200 RED + WHITE BENDY STRAWS,165,48,29,2.689701897
24 HANGING EASTER EGGS FLORAL TUB,14,17,10,0.886178862
3 BIRDS CANVAS SCREEN,27,2,1,0.004065041
3 BLACK CATS W HEARTS BLANK CARD,28,3,2,0.10704607
3 DRAWER ANTIQUE WHITE WOOD CABINET,31,18,11,0.95799458
3 GARDENIA MORRIS BOXED CANDLES,39,20,12,1.12195122
3 HEARTS HANGING DECORATION RUSTIC,244,199,119,11.29674797
3 HOOK HANGER MAGIC GARDEN,127,65,39,3.619241192
3 HOOK PHOTO SHELF ANTIQUE WHITE,173,73,44,4.111111111
3 PIECE JIGSAW TOADSTOOLS,50,2,1,0.021680217
3 PIECE SPACEBOY COOKIE CUTTER SET,117,65,39,3.68699187
3 PINK HEN+CHICKS IN BASKET,29,3,2,0.134146341
3 RAFFIA RIBBONS 50'S CHRISTMAS,87,43,26,2.414634146
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,24,17,10,0.91598916
3 ROSE MORRIS BOXED CANDLES,87,30,18,1.682926829
3 STRIPEY MICE FELTCRAFT,302,185,111,10.49593496
3 TIER CAKE TIN GREEN AND CREAM,40,12,7,0.655826558
3 TIER CAKE TIN RED AND CREAM,1,22,13,1.153116531
3 TIER SWEETHEART GARDEN SHELF,32,2,1,0.085365854
3 TRADITIONAL BISCUIT CUTTERS  SET,4,35,21,1.972899729
3 TRADITIONAL COOKIE CUTTERS  SET,20,10,6,0.495934959
3 WHITE CHOC MORRIS BOXED CANDLES,113,27,16,1.508130081
3 WICK CHRISTMAS BRIAR CANDLE,17,7,4,0.352303523
36 DOILIES DOLLY GIRL,88,47,28,2.617886179
36 DOILIES SPACEBOY DESIGN,31,18,11,0.955284553
36 DOILIES VINTAGE CHRISTMAS,416,185,111,10.49322493
36 FOIL HEART CAKE CASES,131,62,37,3.452574526
36 FOIL STAR CAKE CASES,45,35,21,1.943089431
36 PENCILS TUBE POSY,1,5,3,0.233062331
36 PENCILS TUBE RED RETROSPOT,212,110,66,6.196476965
36 PENCILS TUBE RED SPOTTY,205,77,46,4.369918699
36 PENCILS TUBE SKULLS,271,92,55,5.176151762
36 PENCILS TUBE WOODLAND,234,85,51,4.827913279
3D CHRISTMAS STAMPS STICKERS,7,45,27,2.504065041
3D DOG PICTURE PLAYING CARDS,31,30,18,1.703252033
3D HEARTS  HONEYCOMB PAPER GARLAND,94,22,13,1.159891599
3D SHEET OF CAT STICKERS,16,29,17,1.581300813
3D SHEET OF DOG STICKERS,68,29,17,1.612466125
3D SHEET OF SEA WORLD STICKERS,10,5,3,0.196476965
3D STICKERS CHRISTMAS STAMPS,20,23,14,1.273712737
3D STICKERS TRADITIONAL CHRISTMAS,16,24,14,1.327913279
3D STICKERS VINTAGE CHRISTMAS,8,27,16,1.436314363
3D TRADITIONAL CHRISTMAS STICKERS,16,57,34,3.2100271
3D VINTAGE CHRISTMAS STICKERS,129,60,36,3.361788618
4 BLUE DINNER CANDLES SILVER FLOCK,17,7,4,0.29403794
4 BURGUNDY WINE DINNER CANDLES,39,14,8,0.719512195
4 FESTIVE GREEN DINNER CANDLES,3,2,1,0.069105691
4 GOLD FLOCK CHRISTMAS BALLS,18,4,2,0.170731707
4 IVORY DINNER CANDLES GOLD FLOCK,58,20,12,1.105691057
4 IVORY DINNER CANDLES SILVER FLOCK,75,32,19,1.776422764
4 LAVENDER BOTANICAL DINNER CANDLES,46,27,16,1.520325203
4 LILY  BOTANICAL DINNER CANDLES,56,20,12,1.075880759
4 PEAR BOTANICAL DINNER CANDLES,17,27,16,1.479674797
4 PINK DINNER CANDLE SILVER FLOCK,8,7,4,0.348238482
4 PINK FLOCK CHRISTMAS BALLS,4,5,3,0.219512195
4 PURPLE FLOCK DINNER CANDLES,23,9,5,0.45799458
4 ROSE PINK DINNER CANDLES,38,14,8,0.731707317
4 SKY BLUE DINNER CANDLES,0,10,6,0.508130081
