Customer ID,Recency,Frequency,Monetary,Segment
12346,326,12,77556.46,3
12347,2,8,5633.32,1
12348,75,5,2019.4,1
12349,19,4,4428.69,1
12350,310,1,334.4,5
12351,375,1,300.93,5
12352,36,10,2849.84,1
12353,204,2,406.76,5
12354,232,1,1079.4,5
12355,214,2,947.61,5
12356,23,6,6371.73,1
12357,33,3,18287.66,1
12358,2,5,3887.07,1
12359,58,10,8873.39,1
12360,52,8,4252.89,1
12361,287,4,511.25,5
12362,3,11,5356.23,1
12363,110,2,552.0,1
12364,8,4,1313.1,1
12365,291,2,641.38,5
12366,634,1,500.24,0
12367,4,1,168.9,1
12368,628,1,917.6999999999999,0
12369,413,3,1791.15,5
12370,51,7,4316.56,1
12371,45,5,4067.38,1
12372,72,3,1298.04,1
12373,311,3,1127.65,5
12374,25,4,2989.2200000000003,1
12375,11,2,457.5,1
12376,390,2,503.15,5
12377,315,4,3426.32,5
12378,130,2,5416.32,1
12379,82,4,1620.22,1
12380,22,11,9676.300000000001,1
12381,5,5,1845.31,1
12383,185,5,1850.56,1
12384,29,2,585.27,1
12385,379,1,1938.4,5
12386,338,2,660.8,5
12387,415,1,143.94,5
12388,16,8,3901.11,1
12389,403,3,1433.33,5
12390,80,1,549.84,1
12391,22,6,2724.84,1
12392,591,1,234.75000000000003,0
12393,72,6,2399.4500000000003,1
12394,64,2,1272.48,1
12395,19,15,5067.27,1
12396,674,1,931.43,0
12397,36,2,2409.9,1
12398,46,1,1635.6599999999999,1
12399,119,7,1962.3,1
12400,414,1,205.25,5
12401,303,1,84.3,5
12402,323,6,1256.9,5
12403,50,2,1019.36,1
12404,682,1,63.24,0
12405,149,1,1710.39,1
12406,22,5,6390.36,1
12407,50,5,1708.1200000000001,1
12408,33,8,4340.7699999999995,1
12409,79,7,23419.29,1
12410,309,3,1013.71,5
12411,410,1,346.9,5
12412,75,6,2596.93,1
12413,67,4,999.45,1
12414,217,6,952.41,5
12415,24,28,144458.37,4
12416,657,1,202.56,0
12417,3,20,6797.41,3
12418,113,4,2021.2,1
12419,386,2,503.01,5
12420,64,1,600.39,1
12421,16,6,1098.6,1
12422,96,17,5231.8,1
12423,1,10,2622.39,1
12424,163,4,3340.03,1
12425,78,2,1741.41,1
12426,195,2,1345.21,1
12427,22,3,1129.3,1
12428,26,9,7956.46,1
12429,9,8,7485.91,1
12430,43,1,256.4,1
12431,36,27,10790.47,3
12432,43,5,5059.32,1
12433,1,10,20581.26,1
12434,85,3,1103.43,1
12435,80,6,13925.93,1
12436,100,1,509.01,1
12437,2,39,12683.4,3
12438,14,2,2906.85,1
12439,683,2,1142.88,0
12440,462,2,859.2,5
12441,367,1,347.1,5
12442,3,1,172.06,1
12443,732,1,485.31,0
12444,21,5,5005.46,1
12445,22,2,434.98,1
12446,58,1,1002.3100000000001,1
12447,243,1,476.49,5
12448,44,1,449.45,1
12449,22,6,4835.89,1
12450,156,5,688.2,1
12451,11,8,12669.88,1
12452,17,2,430.57,1
12453,134,1,707.09,1
12454,56,5,16679.78,1
12455,73,10,5879.95,1
12456,44,3,3181.04,1
12457,66,8,2995.91,1
12458,71,4,1777.49,1
12459,605,1,454.36,0
12460,456,1,326.65,5
12461,94,2,826.88,1
12462,19,2,1189.59,1
12463,53,4,1344.78,1
12464,10,8,1212.05,1
12465,17,2,742.1899999999999,1
12466,682,1,56.73,0
12467,423,1,132.8,5
12468,188,5,3670.74,1
12469,523,2,3070.54,0
12470,690,1,211.95,0
12471,2,79,39918.19,3
12472,32,19,17880.59,3
12473,29,5,3928.0499999999997,1
12474,17,31,12372.75,3
12475,54,2,1149.64,1
12476,16,23,14083.91,3
12477,23,9,20276.37,1
12478,4,1,680.99,1
12479,11,1,527.2,1
12480,28,7,5464.85,1
12481,23,15,12344.89,1
12482,576,29,23691.4,0
12483,17,19,5097.18,3
12484,33,12,6354.1,1
12485,529,1,708.1,0
12486,432,1,1037.28,5
12487,731,1,285.29999999999995,0
12488,10,3,1298.66,1
12489,336,1,334.93,5
12490,5,21,9823.64,3
12491,39,1,460.40000000000003,1
12492,63,3,715.21,1
12493,166,2,433.74,1
12494,16,9,1872.8700000000001,1
12495,641,1,357.4,0
12496,620,2,45.34,0
12497,82,3,6248.5,1
12498,21,3,403.70000000000005,1
12499,560,1,393.72,0
12500,23,19,5955.21,3
12501,337,1,2169.39,5
12502,96,5,3723.87,1
12503,584,1,1126.0,0
12504,18,4,779.05,1
12505,409,1,955.2,5
12506,233,1,73.5,5
12507,134,4,1844.06,1
12508,26,2,397.88,1
12509,284,1,176.5,5
12510,143,9,5178.02,1
12511,429,1,3084.02,5
12512,66,2,132.18,1
12513,113,1,612.29,1
12514,267,2,1597.76,5
12515,353,1,383.7,5
12516,78,4,2648.62,1
12517,28,5,2481.6,1
12518,1,5,2056.89,1
12519,64,2,716.54,1
12520,79,5,2634.26,1
12521,143,1,599.68,1
12522,39,2,192.72,1
12523,19,23,4352.35,3
12524,9,17,11126.11,3
12525,498,3,973.73,0
12526,1,3,1316.66,1
12527,82,5,735.51,1
12528,9,6,1933.48,1
12529,528,1,316.48,0
12530,60,9,3759.26,1
12531,15,2,1933.2,1
12532,30,1,349.83000000000004,1
12533,628,2,1367.89,0
12534,131,1,1089.18,1
12535,92,2,716.35,1
12536,43,3,12601.830000000002,1
12537,409,1,732.94,5
12538,29,2,640.45,1
12539,22,7,11214.75,1
12540,20,33,22254.49,3
12541,30,3,981.18,1
12542,484,2,481.88,0
12543,448,1,980.25,5
12544,36,1,372.7,1
12545,75,2,1000.39,1
12546,47,2,1161.5,1
12547,198,3,383.58,1
12548,166,1,95.19999999999999,1
12549,576,6,1575.68,0
12550,79,1,964.83,1
12551,358,1,168.0,5
12552,39,2,437.82,1
12553,8,12,4608.75,1
12554,449,1,468.5,5
12555,682,1,129.23,0
12556,50,2,599.56,1
12557,16,8,18716.14,1
12558,8,1,269.96,1
12559,311,2,561.71,5
12560,5,3,2134.01,1
12561,303,1,238.85,5
12562,8,9,4966.92,1
12563,409,1,249.24,5
12564,261,1,456.9,5
12565,289,1,145.92,5
12566,86,1,351.65,1
12567,23,15,13709.86,1
12568,645,1,70.0,0
12569,2,32,4124.69,3
12570,682,1,77.52,0
12571,40,2,519.61,1
12572,9,2,1020.42,1
12573,227,5,717.41,5
12574,316,1,218.45,5
12575,457,2,622.8199999999999,5
12576,36,8,2142.72,1
12577,35,8,1617.1,1
12578,21,4,4642.45,1
12579,78,1,440.42,1
12580,247,2,1052.9,5
12581,40,1,197.71,1
12582,239,4,1980.4,5
12583,3,27,14447.44,3
12584,4,9,2338.15,1
12585,234,2,2040.1,5
12586,17,4,2062.67,1
12587,8,1,144.0,1
12588,39,4,958.78,1
12589,29,8,4695.66,1
12590,211,2,9864.26,5
12591,317,3,1338.95,5
12592,92,5,2582.66,1
12593,109,3,418.09999999999997,1
12594,38,15,5090.110000000001,1
12595,505,1,299.02,0
12596,51,2,618.27,1
12597,19,4,3811.22,1
12598,10,11,4534.09,1
12599,29,13,2296.72,1
12600,29,21,5043.92,3
12601,190,6,681.26,1
12602,59,1,153.12,1
12603,22,1,739.1999999999999,1
12604,79,2,254.18,1
12605,376,4,1232.95,5
12606,682,1,21.0,0
12607,60,1,1579.51,1
12608,405,1,415.79,5
12609,78,9,3435.86,1
12610,23,5,2099.54,1
12611,52,1,1193.32,1
12612,74,1,704.0400000000001,1
12613,57,10,6817.37,1
12614,278,1,315.6,5
12615,2,8,5740.98,1
12616,95,3,1131.1,1
12617,29,1,352.98,1
12618,22,1,177.31,1
12619,16,10,3781.38,1
12620,15,3,1339.41,1
12621,2,35,24775.81,3
12622,232,1,180.1,5
12623,276,7,3747.84,5
12624,106,2,641.13,1
12625,212,4,5164.88,5
12626,23,9,6620.48,1
12627,11,7,4478.53,1
12628,4,3,786.46,1
12629,386,2,1558.22,5
12630,10,2,1270.88,1
12631,57,6,3481.57,1
12632,521,2,804.88,0
12633,59,7,5678.16,1
12634,536,2,490.0,0
12635,90,4,2930.41,1
12636,739,1,141.0,0
12637,67,12,8283.81,1
12638,33,2,921.49,1
12639,239,3,1312.37,5
12640,24,3,1174.58,1
12641,115,1,185.9,1
12642,25,3,1013.26,1
12643,128,12,8304.82,1
12644,130,4,1918.49,1
12645,34,8,3539.3,1
12646,5,2,1346.97,1
